x1 = -0.730598
x2 = 0.631339
x3 = 1.116986
x4 = 0.893366
x5 = -0.967592
x6 = 0.779582
x7 = 0.200219
x8 = -0.329249
x9 = 0.493050
x10 = -0.712677
x11 = -0.649774
x12 = -0.122107
x13 = -1.019112
x14 = 0.345586
x15 = -0.146330
x16 = -0.088407
x17 = -0.094429
x18 = 1.051724
x19 = -0.195218
x20 = -0.341538
x21 = 0.511372
x22 = -0.011453
x23 = -0.297093
x24 = 0.808713
x25 = -0.520188
x26 = -0.038443
x27 = -0.842564
x28 = 0.090099
x29 = 0.167769
x30 = -0.147943
x31 = -0.430210
x32 = -0.147309
x33 = -0.373486
x34 = -0.782270
x35 = 0.123696
x36 = 0.382486
x37 = -0.241522
x38 = -0.515973
x39 = 0.518085
x40 = -0.306012
x41 = 0.495117
x42 = 0.806761
x43 = 0.484599
x44 = 0.062871
x45 = -0.183406
x46 = 0.014398
x47 = 0.305249
x48 = -0.376355
x49 = -0.486911
x50 = -0.063815
x51 = 0.357598
x52 = -0.186999
x53 = 0.342252
x54 = 0.662273
x55 = 0.321871
x56 = -0.826541
x57 = -0.345875
x58 = -0.064452
x59 = -1.228238
x60 = 0.089044
x61 = 0.269914
x62 = -0.691009
x63 = 0.154663
x64 = -0.326926
x65 = 0.768866
x66 = 0.595847
x67 = 0.163256
x68 = 0.221820
x69 = 0.509648
x70 = 0.281857
x71 = -0.415155
x72 = 0.038383
x73 = 0.180714
x74 = -0.650281
x75 = 0.593466
x76 = -0.062915
x77 = -0.662257
x78 = 0.388569
x79 = -0.135097
x80 = -0.331703
x81 = -1.229672
x82 = -0.668893
x83 = 0.175490
x84 = 0.572524
x85 = -0.226003
x86 = -0.366258
x87 = -0.048668
x88 = 0.040967
x89 = -0.225012
x90 = 1.076413
x91 = 0.454705
x92 = 0.351579
x93 = 0.146039
x94 = -0.266537
x95 = 0.097097
x96 = -0.405683
x97 = 0.484086
x98 = 1.056555
x99 = 0.366994
x100 = 0.374855
